Breed,Personalities,Size,Lifestyle,Housing,Climate
Miniature Schnauzer,"Friendly, smart, obedient",Small,Active,Apartment,Either
Newfoundland,"Easygoing, patient, loyal, friendly",Large,Moderate,Patio,Cold
Norfolk Terrier,"Alert, courageous, playful, friendly",Small,Active,Apartment,Either
Norwich Terrier,"Alert, curious, affectionate, gregarious, loyal",Small,Active,Apartment,Either
Nova Scotia Duck Tolling Retriever,"Intelligent, outgoing, diligent, affectionate, eager",Medium,Active,Apartment,Either
Olde English Sheepdog,"Obedient, intelligent, gentle, easygoing",Large,Active,Apartment,Cold
Otterhound,"Gregarious, affectionate, cheerful",Large,Active,Patio,Cold
Papillon,"Happy, alert, friendly",Small,Active,Apartment,Hot
Pekingese,"Affectionate, loyal, regal",Small,Sedentary,Apartment,Cold
Pembroke Welsh Corgi,"Smart, alert, affectionate, bold, kindly",Small,Active,Apartment,Cold
Pharaoh Hound,"Smart, alert, noble, friendly, affectionate",Medium,Active,Apartment,Hot
Plott,"Sweet, gentle, fearless, implacable, bold",Large,Active,Patio,Hot
Pointer (English),"Even-tempered, alert, hardworking, loyal, hunter",Large,Active,Patio,Hot
Pomeranian,"Lively, bold, inquisitive",Small,Sedentary,Apartment,Cold
Poodle (Standard),"Proud, active, smart",Medium,Active,Apartment,Hot
Portugese Water Dog,"Affectionate, athletic, adventurous",Medium,Active,Apartment,Cold
Pug,"Even-tempered, charming, mischievous, loving",Small,Moderate,Apartment,Moderate
Puli,"Loyal, smart, home-loving, strong-willed, trainable",Small,Active,Apartment,Cold
Rat Terrier,"Friendly, lovable, inquisitive",Small,Active,Apartment,Hot
Redbone Coonhound,"Even-tempered, amiable, kind, tiger",Medium,Active,Apartment,Moderate
Rhodesian Ridgeback,"Dignified, even tempered, affectionate",Large,Active,Apartment,Moderate
Rottweiler,"Affectionate, loyal",Large,Active,Patio,Moderate
Saluki,"Gentle, dignified, loyal, independent-minded",Medium,Active,Patio,Moderate
Samoyed,"Gentle, adaptable, eager, friendly, conservative, never shy",Medium,Active,Patio,Cold
Schipperke,"Alert, curious, confident, intense, mischievious, impudent",,Active,Apartment,Moderate
Scottish Deerhound,"Dignified, gentle, polite, smart, perceptive",Large,Active,Patio,Either
Scottish Terrier,"Independent, confident, never shy, spirited, dignified",Small,Active,Apartment,Cold
Shetland Sheepdog (Sheltie),"Bright, playful, energetic",Medium,Active,Patio,Cold
Shiba Inu,"Alert, active, attentive",Small,Moderate,Apartment,Cold
Shih Tzu,"Outgoing, affectionate, playful, charming",Small,Sedentary,Apartment,Moderate
Siberian Husky,"Friendly, gentle, dignified, alert",Medium,Active,Patio,Cold
Soft Coated Wheaten Terrier,"Easygoing, friendly, loyal",Medium,Active,Apartment,Moderate
Saint Bernard,"Friendly, patient, outgoing, nanny",Large,Sedentary,Either,Cold
Staffordshire Bull Terrier,"Courageous, tenacious, gentle, playful, intelligent",Medium,Active,Either,Moderate
Standard Schnauzer,"Intelligent, courageous, obedient, energetic, dependable",Medium,Active,Apartment,Either
Swedish Vallhund ,"Friendly, easygoing, alert, smart",Small,Active,Patio,Cold
Tibetan Mastiff,"Easygoing, loyal",Large,Sedentary,Patio,Cold
Tibetan Spaniel,"Confident, intellligent, affectionate, playful",Small,Active,Apartment,Moderate
Tibetan Terrier,"Affectionate, watchful, intelligent, gregarious",Small,Active,Apartment,Either
Toy Fox Terrier,"Outgoing, friendly, loyal",Small,Active,Apartment,Moderate
Treeing Walker Coonhound,"Intelligent, courageous, sensible, noble",Medium,Active,Patio,Moderate
Vizsla,"Gentle, affectionate, energetic, eager",Medium,Active,Patio,Hot
Weimaraner,"Friendly, courageous, alert, obedient",Large,Active,Patio,Hot
Welsh Springer Spaniel,"Happy, energetic",Medium,Active,Apartment,Either
Welsh Terrier,"Alert, energetic",Small,Active,Either,Moderate
West Highland White Terrier,"Easygoing, intelligent, loyal, funny",Small,Active,Apartment,Cold
Whippet,"Easygoing, affectionate, playful",Small,Active,Apartment,Hot
Wirehaired Pointing Griffon,"Outgoing, eager, intellligent, dependable",Large,Active,Patio,Cold
Xoloitzcuintli,"Loyal, alert, easygoing, obedient",Small,Moderate,Apartment,Moderate
Yorkshire Terrier,"Energetic, affectionate",Small,Active,Apartment,Moderate
